SUBCATEGORY ID,DESCRIPTION
11,PHONE CO
11,MOBILE CO
12,T-HOME
12,NETFLIX
12,HBOMAX
12,SPOTIFY
13,ELECTRICUTIL
13,UTILITIES.NET
14,ALLIANZ
15,COMMON COST
21,EVNI PETROL
21,NORMPETROL
21,BORDER SHELL
21,OMV
21,SHELL
21,MOL
21,M.PETROL
23,TIRECHANGE APOLLO R BT
23,TOYOTA
23,PACKAGE DELIVERY CO
24,SIMPLE TOLL
31,BLACKFISH
31,PUMBUCKLE DELI
31,ALPHABET DELI
31,PENNY
31,LIDL
31,HOFER
31,AUCHAN
31,SPAR
31,TESCO
31,CHINESE FOOD LTD
31,PRIME
31,DENMARKPANDAS
31,LIL INDIA
33,DM
33,CRYSTALNAIL
33,ROSSMANN
33,BEAUTY NAILS
33,NOTINO
33,MANNA NATUR
33,LUSH
41,FOODELIVERY
41,BURGERPIZZA LLC
41,BURGER KING
41,ASIA FOOD
41,HIPER WOK
41,KFC
41,STRONGPIZZA
41,FOODELIVERY
41,AMPER
42,MCD VIDA*M
42,NEPJIDA MIANMAR
42,REGRESS CANTIN
42,BRITGE PRESSO
42,DRY BREAD
42,VICTORIA FALLS BUFFET
42,PANCAKE&HATRED
42,CIAO PANCAKE LESS
42,TULIP RISTRETTO
42,LOS ANGELOS
42,DALLMAYR
42,RED SPHERE E'TTEREM
42,EGYSZARVU UNICORN
42,CABIN BEERGARDEN
42,STARBUCKS
42,PADTHAI WOKBAR
42,CHINESE BUFFET
42,TRATTORIA POMO D'ORO
42,MCDONALDS
42,PADTHAI
42,BUKARESTMAGLOD MARKET
42,WAN YIE ETTEREM
42,B&K TEA
42,BORED OCTOPUS
42,YITIAN BAKAREI
42,JU SANG
42,CAFE ELVIS
42,CLOUDY'S
42,STARBUCKS CHICAGO
42,BADMOTHERSPAN
42,CHINESE RESTAURANT
42,FORNETTI
42,I66
42,FREE BISTRO
42,NOIRE DARTSCLUB
42,JOASSZONY PEKSEG
43,ANON CONDITOREI
43,OCEAN
51,WHITELAB GREATSCIENCE
51,OTP HEALTHCARE
51,SYNLAB
51,WHITELAB
51,FOR LIFE
53,NEWLINE PHARMACIST
53,HERBAL LAND
53,OLDLINE PHARMACIST
53,COLOSSEUM PHARMACY
53,PRIME PHARMACY
53,AQUEDUCT PHARMACY
53,TABLEPRESS PHARMACY
53,ONLINE PHARMACY
61,CITYTRANSPORTCOMPANY
62,MALL PARKING
62,AQUEDUCT PARKING
62,COLOSSEUM PARKING
62,MOBILE PARKING
72,FLAVA FLOWER
81,FRESSNAPF
81,PETCLINIC
81,PETNET
81,WOLFKITCHEN
81,ZOOMINUS
81,ANIMALCOOKER
81,AQUE ANIMAL SHOP
81,KUTSERAPET
81,DELTA GARDEN
81,BOL-DOG.COM
81,JUDY'S COOKEDMEAL
91,TRANSFER FEE
91,AD-TRANSFER ON GIRO
91,GROUP COLLECTION FEE
91,DOMESTIC TRANSFER FEE
91,TRANSFER FEE WITHIN BANK
91,TRANSFER FEE
91,INTEREST REVENUE TAX
92,ATM CASH WITHDRAWAL FEE
93,BANKCARD ANNUAL FEE
93,MAIN CARD ANNUAL FEE
94,MORTGAGE
96,CASH WITHDRAWAL
101,SALARY
103,INTEREST CREDIT
103,"FEE, INTEREST"
103,INTEREST CORRECTION
111,WALMART
111,GENEVA DOOR
111,PRAKTIKER
111,MINRO COVER
111,JESSICA AIRCONDITIONING
112,MÖBELIX
112,IKEA
112,FAUCETLINE
112,BONTOUR
112,BONAMI
112,JYSK
112,XXXLUTZ
112,MÖMAX
112,RING AND WATCH
112,DESIGNER WAREHOUSE
112,FLOWER 123 LTD
112,LAKBERENDEZE'SI A'
131,SPORTSINDIRECT
131,MAYER&SCHWARZ
131,OCTATHLON
131,DDD
131,PEPCO
131,HEAVY TOOLS
131,NEW YORKER
131,TEZENIS
131,C&A
131,SPRINGFIELD
131,H&M
131,MOHITO
131,SINSAY
131,HUMANIC
131,RESERVED
131,ISHOE.COM
141,AEGON TRAVELLER
141,TOLLMATRICE
141,HOFER
141,RYANAIR
142,AIRBNB
142,BOOKING
151,CINEMACITY
152,PAINTY
152,CREATIVE FUN
152,ALIEXPRESS
152,SHEIN
152,TUNA BT
153,LIBERY
161,INTEREST TAX DEBIT
161,MONEY TYING
62,MALL TERMINA
43,MIGNON CUKRASZDA
101,EMPLOYER
53,PATIKA
131,Van Griff
15,BLOCK OF FLATS
13,MVM
81,ZOOPLUS
41,PIZZA
131,VINTED
12,SKYSHOWTIME
61,CITYTRANSPORT
81,ALPHAZOO
91,AD-BANKKÖZI ÁTUTALÁS GIRO-N
91,CSOP. BESZEDÉS TELJESÍTÉS DÍJA TERHELES
91,BELFÖLDI FT ÁTUT. DÍJA (NETBANK) TERHELES
91,BANKON BEL. ÁTUT. DÍJA (NETBANK) TERHELES
91,UTALÁSI DÍJ
91,KAMATJÖVEDELEM SZOCHO-JA
92,ATM KÉSZPÉNZFELVÉTEL DÍJ BELFÖLD
93,BANKKÁRTYA ÉVES DÍJ
93,FŐKÁRTYA ÉVES TAGSÁGI DÍJA
103,REF.KAMATHOZ KÖTÖTT KAMAT JOVAIRAS
103,"DÍJ, KAMAT"
103,REF.KAMATHOZ KÖTÖTT KAMAT KORREKCIÓ
73,Transfer Debit
104,Transfer Credit
