,OWNER,DATE,CATEGORY ID,SUBCATEGORY ID,DESCRIPTION,AMOUNT
0,PersonX,2023-03-29,,,OTPMOBL PHONE CO,-4036.535560187482
1,PersonX,2023-03-29,,,OTPMOBL UTILITIES.NET,-11341.41239472547
2,PersonX,2023-03-29,,,LIDL HU 220 ISASZ,-30528.88438791341
3,PersonX,2023-03-26,,,SHELL T.ALL.     ,-17761.805341213
4,PersonX,2023-03-22,,,LIDL HU 501 ISASZ,-25111.72492729609
5,PersonX,2023-03-22,,,TOYOTA SHARP        ,-114769.2656326056
6,PersonX,2023-03-17,,,LEVI BLACKFISHVIRA,-2042.089864312838
7,PersonX,2023-03-16,,,OTPMOBL ONLINE PHARMACY.H,-15254.71996078865
8,PersonX,2023-03-15,,,OTPMOBL T-HOMEPAY   ,-13366.08839388167
9,PersonX,2023-03-15,,,OTPMOBL ALLIANZ.H,-15338.45310765997
10,PersonX,2023-03-15,,,ONEILL PATIKA    ,-2278.199026560608
11,PersonX,2023-03-15,,,LIDL HU 142 ISASZ,-20862.54935581481
12,PersonX,2023-03-15,,,WALMART688MALL        ,-2723.053255101561
13,PersonX,2023-03-09,,,ALHAMBRA CYBERPAC ,-9546.927477476622
14,PersonX,2023-03-08,,,LIDL HU 491 ISASZ,-10659.05612704902
15,PersonX,2023-03-08,,,C&A ALACARD 341.  ,-17610.04214872222
16,PersonX,2023-03-08,,,Van Griff BT Fil.9,-22776.27191699879
17,PersonX,2023-03-08,,,MIGNON CUKRASZDA ,-2346.454276044852
18,PersonX,2023-03-08,,,OTPMOBL nav       ,-9551.24073968023
19,PersonX,2023-03-08,,,AIRBNB   HMQF3PHJM          3734231,-26153.32568646136
20,PersonX,2023-03-02,,,LIDL HU 774 ISASZ,-713.9864991999729
21,PersonX,2023-03-02,,,AMPER                        8396646,-7171.736568255149
22,PersonX,2023-03-02,,,LIDL HU 233 ISASZ,-27060.15460575843
23,PersonX,2023-03-02,,,SHELL T.ALL.     ,-19871.7725892155
24,PersonX,2023-03-30,,,"FEE, INTEREST",19.56776782676854
25,PersonX,2023-03-14,,,TRANSFER FEE,-149.3707053757805
26,PersonX,2023-03-03,,,TRANSFER FEE,-60.26403276695213
27,PersonX,2023-03-05,,,Salary - EMPLOYER CO,273566.5629417134
28,PersonX,2023-03-20,,,Transfer Debit - PERSON1,-5184.482462854077
29,PersonX,2023-03-14,,,Transfer Debit - PERSON2,-38270.14940842958
30,PersonX,2023-03-05,,,MORTGAGE,-55993.40746797763
31,PersonX,2023-03-05,,,MORTGAGE,-74984.68389569013
32,PersonX,2023-03-03,,,COMMON COST,-42489.85844513744
33,PersonY,2023-03-03,,,ATM készpénzfelvétel belföld,-25476.587547998686
34,PersonY,2023-03-30,,,Csop. beszedés teljesítés díja terheles,-7.745751626520687
35,PersonY,2023-03-02,,,Csop. beszedés teljesítés díja terheles,-7.898391170141461
36,PersonY,2023-03-09,,,OTP HEALTHCARE,-7966.9174096363195
37,PersonY,2023-03-03,,,Salary - Employer CO,586373.2107788546
38,PersonY,2023-03-30,,,Kamatadó terhelés,-5.359879081568266
39,PersonY,2023-03-02,,,Kamatadó terhelés,-2.398064722190087
40,PersonY,2023-03-30,,,Kamatjövedelem SZOCHO-ja,-3.9423507844868957
41,PersonY,2023-03-02,,,Kamatjövedelem SZOCHO-ja,-3.481574425806964
42,PersonY,2023-03-29,,,LEVI BLACKFISH VIRAG AG,-6733.5830622547155
43,PersonY,2023-03-29,,,Bartok23 Gasztro Kft. Kft.,-5420.88752332443
44,PersonY,2023-03-26,,,NEW YORKER BP OLLEY LEE,-13751.925167142976
45,PersonY,2023-03-26,,,LIPOTI PEKSEG ES K ES K,-796.7702096409395
46,PersonY,2023-03-25,,,DM,-28985.37446163159
47,PersonY,2023-03-17,,,MVM NEXT ENERGIAK K,-7424.860400043478
48,PersonY,2023-03-16,,,PHONE COSZMLA LA,-5060.239950478652
49,PersonY,2023-03-15,,,Cafe EILER Kft.,-10250.658286753487
50,PersonY,2023-03-15,,,PROCONSERV KFT.,-859.3443777228728
51,PersonY,2023-03-15,,,BARTOK GYOGYSZERTAR ERTAR,-4588.071616650365
52,PersonY,2023-03-12,,,WOLFKITCHEN MartonvÂ¤s tonvÂ¤s,-35241.1381290129
53,PersonY,2023-03-09,,,CITYTRANSPORT ISASZEGGO VASARLA ASARLA,-16094.066900313795
54,PersonY,2023-03-03,,,ROSSMANN. SUBARU I BARU I,-5569.477768720986
55,PersonY,2023-03-03,,,Alpha Zoo KISTARCSA A,-5327.84000260621
56,PersonY,2023-03-02,,,THUY NA KFT,-2922.5908316079262
57,PersonY,2023-03-02,,,PEPCO,-11322.644924915754
58,PersonY,2023-03-30,,,NETFLIX COM COM,-3816.6685946867096
59,PersonY,2023-03-30,,,SHEIN COM M,-25364.598702729116
60,PersonY,2023-03-26,,,VINTED,-2281.4574823345215
61,PersonY,2023-03-15,,,SKYSHOWTIME B3 IME B3,-1116.117347409064
62,PersonY,2023-03-15,,,SHEIN COM M,-6298.391254295843
63,PersonY,2023-03-09,,,SHEIN COM M,-12089.185833807007
64,PersonY,2023-03-02,,,NETFLIX COM COM,-3799.0738429741477
65,PersonY,2023-03-02,,,SPOTIFY,-3393.1748786482603
66,PersonY,2023-03-30,,,Ref.kamathoz kötött kamat jovairas,32.74818967608686
67,PersonY,2023-03-02,,,Ref.kamathoz kötött kamat jovairas,26.038799223290678
